"","temperature","dewpoint_temperature","soil_temperature_level_1"
"2029",309.590972900391,286.937530517578,314.825561523438
"2030",309.427276611328,289.976287841797,314.112091064453
"2031",308.878265380859,287.408660888672,313.646026611328
"2032",307.051849365234,291.057830810547,312.009246826172
"2033",309.236236572266,290.532592773438,313.671142578125
"2034",312.069427490234,286.81591796875,316.857269287109
"2035",312.104949951172,284.323455810547,316.261383056641
"2036",311.654022216797,284.432891845703,316.062316894531
"2037",309.443511962891,286.206573486328,314.427978515625
"2038",306.121826171875,292.035461425781,311.265625
"2039",307.805633544922,291.106170654297,313.779052734375
"2040",311.64208984375,285.186431884766,316.896697998047
"2041",312.413208007812,277.755004882812,317.079925537109
"2042",312.281036376953,279.391937255859,316.935913085938
"2043",312.961151123047,280.480346679688,317.864776611328
"2044",311.81103515625,284.239501953125,316.306854248047
"2045",308.231048583984,289.648651123047,312.697784423828
"2046",305.376495361328,292.100463867188,309.759307861328
"2047",308.994598388672,283.405059814453,313.367797851562
"2048",307.958404541016,284.830047607422,312.348785400391
"2049",306.733154296875,288.245758056641,311.960815429688
"2050",307.762847900391,279.184692382812,312.657104492188
"2051",307.890258789062,275.94482421875,312.698760986328
"2052",309.307159423828,276.938842773438,313.308410644531
"2053",310.79833984375,272.775115966797,314.176452636719
"2054",311.061798095703,272.233215332031,314.306762695312
"2055",308.843780517578,277.185119628906,312.609283447266
"2056",308.225952148438,274.818023681641,312.310546875
"2057",307.814483642578,278.576507568359,312.197021484375
"2058",308.911590576172,270.472686767578,312.477508544922
"2059",309.993377685547,268.792236328125,312.357757568359
"2060",309.713745117188,277.812530517578,313.201416015625
"2061",307.921112060547,286.420440673828,312.721649169922
"2062",306.758331298828,287.885192871094,312.212493896484
"2063",307.355438232422,292.493743896484,312.998870849609
"2064",308.983245849609,291.617919921875,314.165161132812
"2065",310.448394775391,289.268371582031,315.578948974609
"2066",310.556243896484,285.5263671875,315.054107666016
"2067",308.596771240234,288.987640380859,313.540161132812
"2068",310.065704345703,288.289459228516,314.740234375
"2069",309.962066650391,281.696014404297,313.665191650391
"2070",309.69921875,288.596282958984,314.842742919922
"2071",307.581695556641,291.350463867188,313.317901611328
"2072",308.615081787109,288.643585205078,313.519866943359
"2073",310.330352783203,285.048980712891,314.551544189453
"2074",310.113128662109,287.885284423828,314.917938232422
"2075",308.980865478516,288.831878662109,314.293640136719
"2076",310.160430908203,283.847290039062,314.366241455078
"2077",307.845092773438,279.730712890625,311.999053955078
"2078",304.443878173828,275.293823242188,308.028411865234
"2079",304.380645751953,285.650360107422,307.901336669922
"2080",303.578857421875,284.724548339844,308.05078125
"2081",304.506927490234,282.631225585938,309.145538330078
"2082",305.246826171875,273.529632568359,307.644744873047
"2083",307.022918701172,269.829925537109,308.449462890625
"2084",307.612426757812,281.465484619141,310.959442138672
"2085",306.666534423828,288.424713134766,310.503265380859
"2086",305.184967041016,285.322265625,309.231170654297
"2087",303.081268310547,270.72021484375,305.8525390625
"2088",302.485076904297,263.796691894531,305.241607666016
"2089",300.829040527344,274.559051513672,304.651641845703
"2090",300.39404296875,268.702239990234,302.593627929688
"2091",301.782867431641,268.959991455078,303.434661865234
"2092",302.466674804688,290.185638427734,306.149444580078
"2093",297.381530761719,289.584747314453,300.403686523438
"2094",298.829284667969,289.649383544922,300.70458984375
"2095",298.292327880859,290.71435546875,300.406524658203
"2096",298.002044677734,289.919036865234,300.549346923828
"2097",300.198516845703,288.910522460938,302.111724853516
"2098",298.942596435547,280.305572509766,302.338043212891
"2099",296.51953125,270.153045654297,300.321502685547
"2100",296.695343017578,262.260284423828,299.313934326172
"2101",297.232788085938,262.650482177734,298.602386474609
"2102",299.417236328125,268.224975585938,300.189819335938
"2103",300.2587890625,272.137359619141,302.132537841797
"2104",299.70068359375,264.615447998047,299.380126953125
"2105",300.410827636719,264.602996826172,299.818115234375
"2106",300.437225341797,265.829803466797,300.394866943359
"2107",300.645721435547,266.850189208984,300.517364501953
"2108",300.824310302734,268.813934326172,301.433074951172
"2109",297.807830810547,260.363311767578,300.225555419922
"2110",291.478607177734,260.265838623047,293.781005859375
"2111",293.902526855469,259.969390869141,294.598297119141
"2112",296.428405761719,264.534027099609,296.107269287109
"2113",296.656463623047,278.602325439453,298.956756591797
"2114",298.508087158203,279.638366699219,300.187042236328
"2115",300.341339111328,275.057006835938,300.601043701172
"2116",300.907562255859,274.497314453125,300.974273681641
"2117",297.51708984375,271.979766845703,299.544281005859
"2118",295.190795898438,263.211334228516,295.190673828125
"2119",295.199188232422,267.525543212891,295.632415771484
"2120",294.108489990234,263.079681396484,295.332061767578
"2121",296.281585693359,264.842132568359,296.90234375
"2122",298.018127441406,269.391296386719,297.179565429688
"2123",298.066070556641,266.832702636719,298.436065673828
"2124",294.816162109375,261.338623046875,296.344329833984
"2125",296.194427490234,261.603668212891,295.323333740234
"2126",296.444061279297,268.493927001953,296.871551513672
"2127",290.684967041016,260.692749023438,294.015167236328
"2128",286.613555908203,254.179214477539,286.801177978516
"2129",286.462890625,258.157806396484,288.708770751953
"2130",283.405822753906,258.185821533203,284.871307373047
"2131",286.515960693359,256.187713623047,285.036651611328
"2132",290.601013183594,256.190887451172,287.855560302734
"2133",293.291107177734,256.535369873047,290.788543701172
"2134",293.506195068359,259.553375244141,290.797698974609
"2135",294.905181884766,264.53662109375,292.136627197266
"2136",296.213623046875,267.399932861328,294.456726074219
"2137",295.148803710938,268.181976318359,292.961151123047
"2138",295.244354248047,270.996246337891,293.969390869141
"2139",295.029022216797,269.963470458984,294.513519287109
"2140",295.176544189453,267.06494140625,292.401153564453
"2141",294.495086669922,265.383758544922,292.028869628906
"2142",294.885772705078,267.519927978516,292.336090087891
"2143",292.616851806641,273.254486083984,292.899291992188
"2144",292.147674560547,269.328277587891,291.236602783203
"2145",293.113647460938,269.966217041016,292.819427490234
"2146",293.743072509766,270.969085693359,292.912750244141
"2147",294.061492919922,270.432830810547,291.926910400391
"2148",293.979949951172,268.075073242188,291.985046386719
"2149",292.638885498047,271.787322998047,292.18701171875
"2150",290.635223388672,286.613098144531,293.059143066406
"2151",286.604888916016,283.094635009766,288.740570068359
"2152",285.093383789062,281.173065185547,286.762115478516
"2153",286.748931884766,280.267303466797,286.363433837891
"2154",286.713256835938,280.409912109375,286.451721191406
"2155",286.936553955078,277.574554443359,284.521240234375
"2156",285.209045410156,270.320404052734,285.133941650391
"2157",284.021331787109,269.460784912109,283.72021484375
"2158",286.273254394531,279.533630371094,285.691040039062
"2159",285.148529052734,279.542846679688,286.551940917969
"2160",282.695465087891,275.718780517578,284.010894775391
"2161",283.764801025391,275.710601806641,284.751708984375
"2162",284.582427978516,276.793792724609,284.559509277344
"2163",286.220672607422,279.438568115234,285.015899658203
"2164",287.661041259766,283.611267089844,287.373992919922
"2165",286.167022705078,283.738098144531,287.282043457031
"2166",287.506225585938,283.835571289062,287.431610107422
"2167",288.648254394531,284.564636230469,288.387847900391
"2168",288.903778076172,285.527526855469,288.877716064453
"2169",287.512023925781,283.910919189453,288.545745849609
"2170",286.18115234375,278.914764404297,286.38427734375
"2171",286.726348876953,280.651916503906,286.023773193359
"2172",286.090118408203,278.491607666016,284.853912353516
"2173",286.078125,279.538421630859,284.650329589844
"2174",287.256042480469,279.557830810547,286.2470703125
"2175",287.587860107422,279.345245361328,287.317352294922
"2176",283.368499755859,272.169586181641,284.095794677734
"2177",280.982666015625,266.890869140625,282.518829345703
"2178",281.336608886719,267.654388427734,282.338439941406
"2179",283.322174072266,267.383758544922,282.521209716797
"2180",282.981536865234,268.318176269531,283.111938476562
"2181",285.952484130859,266.951934814453,284.931365966797
"2182",286.585113525391,264.999633789062,285.899841308594
"2183",288.641632080078,261.624267578125,287.594970703125
"2184",287.248870849609,282.882446289062,288.505035400391
"2185",285.507781982422,275.6201171875,286.729461669922
"2186",284.351409912109,276.471099853516,285.044830322266
"2187",282.602386474609,279.187622070312,284.671722412109
"2188",282.850769042969,272.935729980469,283.197723388672
"2189",280.775451660156,267.860778808594,281.390533447266
"2190",281.192291259766,271.709716796875,281.999542236328
"2191",284.113006591797,273.199584960938,284.472198486328
"2192",284.180328369141,270.330474853516,284.270751953125
"2193",285.221862792969,267.894958496094,284.200042724609
"2194",285.608795166016,268.205413818359,285.894622802734
"2195",286.33056640625,268.419219970703,285.389434814453
"2196",287.001220703125,272.549438476562,285.840393066406
"2197",285.974334716797,270.282806396484,285.946411132812
"2198",285.471008300781,267.489776611328,285.952606201172
"2199",286.506561279297,263.476257324219,285.114715576172
"2200",286.234619140625,263.281646728516,286.411407470703
"2201",284.728942871094,267.794769287109,285.044891357422
"2202",283.739501953125,262.237854003906,283.442047119141
"2203",284.135559082031,260.414642333984,284.512847900391
"2204",284.637420654297,264.856964111328,284.933868408203
"2205",284.687683105469,267.806427001953,285.089447021484
"2206",285.222442626953,268.902709960938,285.251983642578
"2207",286.110443115234,269.763732910156,285.037506103516
"2208",286.347351074219,273.102844238281,286.989776611328
"2209",285.205535888672,265.246765136719,285.359802246094
"2210",285.938201904297,264.682830810547,286.199859619141
"2211",288.425567626953,269.018646240234,288.230010986328
"2212",288.090270996094,273.773284912109,288.610595703125
"2213",285.427703857422,278.423370361328,286.985137939453
"2214",287.632843017578,277.366302490234,287.392425537109
"2215",289.627288818359,275.021881103516,288.331726074219
"2216",289.841369628906,275.382568359375,287.945587158203
"2217",288.871978759766,272.524505615234,288.086151123047
"2218",290.929565429688,272.235748291016,290.005645751953
"2219",288.445922851562,268.043182373047,288.905731201172
"2220",289.400970458984,269.023773193359,287.994476318359
"2221",288.435363769531,268.072296142578,289.273132324219
"2222",287.604583740234,268.411071777344,288.553344726562
"2223",288.974609375,266.617034912109,288.153106689453
"2224",291.949493408203,267.314056396484,289.501586914062
"2225",289.062835693359,264.092102050781,290.662200927734
"2226",281.319488525391,255.445739746094,283.977386474609
"2227",280.646759033203,256.79541015625,282.784942626953
"2228",283.008880615234,259.088623046875,283.271759033203
"2229",285.627502441406,263.535003662109,285.876800537109
"2230",287.320465087891,267.459991455078,287.117462158203
"2231",290.176116943359,271.835296630859,290.570037841797
"2232",289.564575195312,278.954742431641,291.043304443359
"2233",287.276702880859,273.384063720703,289.827789306641
"2234",285.444091796875,263.774993896484,285.528289794922
"2235",284.672515869141,270.954071044922,285.878753662109
"2236",287.612670898438,267.316497802734,287.204986572266
"2237",288.000885009766,267.792205810547,287.968688964844
"2238",289.047729492188,269.351593017578,289.558135986328
"2239",290.555755615234,271.492645263672,291.749938964844
"2240",292.085540771484,262.481414794922,291.160736083984
"2241",290.524108886719,264.669769287109,290.222778320312
"2242",289.637481689453,266.806671142578,290.592529296875
"2243",292.232025146484,268.145812988281,292.557769775391
"2244",292.865936279297,275.822357177734,293.784820556641
"2245",288.612152099609,277.162017822266,291.054504394531
"2246",290.033538818359,276.108154296875,291.896881103516
"2247",290.847015380859,264.604949951172,291.917877197266
"2248",288.076812744141,257.498138427734,290.573394775391
"2249",289.747772216797,259.664825439453,290.242309570312
"2250",293.299896240234,260.527893066406,293.249420166016
"2251",292.413726806641,265.031341552734,292.635314941406
"2252",292.156341552734,268.275146484375,293.995269775391
"2253",287.526458740234,275.850189208984,291.205047607422
"2254",289.634796142578,270.033630371094,291.261108398438
"2255",291.397644042969,270.965881347656,292.934020996094
"2256",292.033721923828,274.447418212891,293.704833984375
"2257",294.908599853516,273.186920166016,295.756927490234
"2258",295.162628173828,273.325103759766,296.963897705078
"2259",292.756103515625,274.912261962891,296.412750244141
"2260",290.892517089844,274.274749755859,294.154022216797
"2261",292.079010009766,281.244659423828,295.117462158203
"2262",291.367218017578,287.857177734375,293.268981933594
"2263",291.679718017578,288.903350830078,292.792175292969
"2264",288.520050048828,282.566833496094,290.432861328125
"2265",289.441192626953,282.506805419922,290.009796142578
"2266",290.292114257812,283.061248779297,290.814575195312
"2267",290.011077880859,281.435455322266,290.84423828125
"2268",290.080413818359,280.176666259766,291.429107666016
"2269",288.161956787109,281.394287109375,289.635406494141
"2270",285.062530517578,278.503173828125,287.376129150391
"2271",287.226013183594,279.036956787109,288.583648681641
"2272",289.651306152344,278.964569091797,290.142578125
"2273",290.196990966797,278.973388671875,290.84619140625
"2274",292.055480957031,280.177276611328,292.509918212891
"2275",290.775299072266,277.525909423828,292.319549560547
"2276",292.1220703125,273.768646240234,294.473815917969
"2277",290.474090576172,271.500640869141,295.220428466797
"2278",287.759338378906,268.593597412109,292.691864013672
"2279",288.284759521484,262.373321533203,292.19677734375
"2280",291.880279541016,263.811676025391,295.151702880859
"2281",292.470977783203,270.187774658203,295.656799316406
"2282",294.292449951172,269.565307617188,295.123016357422
"2283",295.157867431641,269.719329833984,296.655212402344
